consonant,voice,place,manner,prosody,condur,vowdur,subject,token
f,0,0,1,1,229,236,6,9
v,1,0,1,1,112,322,7,9
v,1,0,1,1,136,275,5,10
z,1,1,1,1,232,257,11,7
f,0,0,1,1,255,326,3,1
s,0,1,1,1,234,180,9,7
v,1,0,1,1,237,298,3,6
v,1,0,1,1,130,361,20,5
t,0,1,0,1,196,217,14,7
d,1,1,0,1,167,274,12,5
t,0,1,0,1,263,211,18,3
d,1,1,0,1,128,250,8,6
b,1,0,0,1,152,202,15,1
z,1,1,1,1,177,290,18,1
d,1,1,0,1,140,308,12,9
p,0,0,0,1,111,200,9,8
z,1,1,1,1,206,282,16,7
v,1,0,1,1,182,258,18,10
f,0,0,1,1,61,205,11,4
s,0,1,1,1,265,208,18,6
f,0,0,1,1,232,217,20,5
s,0,1,1,1,253,222,19,1
b,1,0,0,1,137,310,14,1
p,0,0,0,1,118,175,11,9
t,0,1,0,1,260,223,10,10
f,0,0,1,1,274,178,19,2
v,1,0,1,1,206,268,8,2
s,0,1,1,1,216,259,5,6
b,1,0,0,1,175,285,16,9
f,0,0,1,1,204,206,9,7
t,0,1,0,1,156,229,20,2
t,0,1,0,1,201,200,4,10
s,0,1,1,1,146,224,5,1
s,0,1,1,1,237,307,10,5
b,1,0,0,1,173,228,11,10
v,1,0,1,1,214,359,3,8
d,1,1,0,1,156,287,5,9
f,0,0,1,1,245,287,3,4
b,1,0,0,1,189,250,12,9
t,0,1,0,1,174,165,18,6
v,1,0,1,1,122,372,7,8
t,0,1,0,1,193,178,18,4
z,1,1,1,1,204,261,19,6
t,0,1,0,1,256,174,10,6
z,1,1,1,1,210,298,6,3
s,0,1,1,1,203,194,17,10
v,1,0,1,1,130,303,10,5
v,1,0,1,1,176,247,17,2
d,1,1,0,1,73,326,7,4
b,1,0,0,1,136,210,17,1
b,1,0,0,1,155,259,5,9
v,1,0,1,1,131,270,4,8
b,1,0,0,1,108,254,16,3
s,0,1,1,1,259,218,6,9
z,1,1,1,1,186,265,13,6
f,0,0,1,1,210,242,16,6
v,1,0,1,1,81,368,15,4
z,1,1,1,1,196,281,9,9
f,0,0,1,1,185,217,11,8
t,0,1,0,1,136,163,19,8
z,1,1,1,1,181,353,7,9
s,0,1,1,1,177,194,9,1
z,1,1,1,1,203,324,10,2
p,0,0,0,1,132,215,7,8
t,0,1,0,1,154,160,19,1
d,1,1,0,1,86,242,9,3
t,0,1,0,1,203,196,6,8
v,1,0,1,1,142,323,6,10
p,0,0,0,1,305,193,10,10
t,0,1,0,1,164,198,14,8
z,1,1,1,1,246,235,15,10
s,0,1,1,1,219,310,4,10
z,1,1,1,1,156,337,10,8
t,0,1,0,1,177,199,20,4
f,0,0,1,1,239,255,14,1
t,0,1,0,1,200,138,17,8
t,0,1,0,1,260,184,10,4
f,0,0,1,1,219,233,14,9
z,1,1,1,1,198,284,1,5
s,0,1,1,1,268,254,13,1
d,1,1,0,1,111,234,13,4
d,1,1,0,1,220,264,20,9
z,1,1,1,1,182,374,14,5
b,1,0,0,1,247,296,10,9
p,0,0,0,1,219,175,8,5
v,1,0,1,1,166,213,18,4
v,1,0,1,1,97,278,9,1
s,0,1,1,1,179,184,9,6
z,1,1,1,1,209,306,14,6
f,0,0,1,1,219,224,12,9
v,1,0,1,1,163,329,10,2
t,0,1,0,1,206,218,20,1
z,1,1,1,1,307,289,3,7
p,0,0,0,1,128,150,11,7
s,0,1,1,1,244,247,8,8
f,0,0,1,1,316,200,2,2
s,0,1,1,1,247,343,3,9
t,0,1,0,1,216,182,6,10
v,1,0,1,1,173,282,16,1
v,1,0,1,1,154,288,8,10
s,0,1,1,1,224,217,6,7
t,0,1,0,1,195,212,4,7
v,1,0,1,1,201,246,3,1
t,0,1,0,1,136,204,9,6
d,1,1,0,1,92,335,3,6
p,0,0,0,1,169,213,16,2
f,0,0,1,1,216,202,19,3
s,0,1,1,1,179,255,17,9
b,1,0,0,1,145,278,14,5
p,0,0,0,1,109,137,7,7
s,0,1,1,1,244,220,18,10
z,1,1,1,1,170,265,5,6
v,1,0,1,1,124,235,19,9
v,1,0,1,1,224,278,16,7
f,0,0,1,1,239,195,18,10
s,0,1,1,1,200,267,5,10
v,1,0,1,1,177,269,19,6
d,1,1,0,1,53,259,4,9
p,0,0,0,1,170,153,18,6
b,1,0,0,1,219,180,15,5
v,1,0,1,1,121,332,14,1
s,0,1,1,1,255,312,14,8
d,1,1,0,1,145,263,6,3
v,1,0,1,1,132,252,12,1
p,0,0,0,1,190,195,8,7
f,0,0,1,1,210,276,8,10
p,0,0,0,1,159,181,19,4
f,0,0,1,1,142,230,16,2
d,1,1,0,1,121,217,1,4
d,1,1,0,1,136,280,10,5
d,1,1,0,1,134,341,3,4
v,1,0,1,1,111,281,15,6
z,1,1,1,1,164,325,12,2
z,1,1,1,1,215,311,4,7
t,0,1,0,1,131,206,11,6
z,1,1,1,1,224,246,18,8
s,0,1,1,1,213,223,13,3
v,1,0,1,1,154,312,4,10
d,1,1,0,1,157,289,20,1
f,0,0,1,1,238,204,17,10
v,1,0,1,1,57,341,7,4
p,0,0,0,1,183,187,16,9
z,1,1,1,1,248,289,2,4
s,0,1,1,1,193,279,16,7
f,0,0,1,1,300,205,11,2
z,1,1,1,1,610,385,3,8
b,1,0,0,1,136,216,2,9
