consonant,voice,place,manner,prosody,noipow,voipow,subject,token
b,1,0,0,1,144.64,123.37,9,9
d,1,1,0,1,132.1,121.06,20,7
b,1,0,0,1,132.31,122.8,13,9
z,1,1,1,1,147.69,124.24,14,6
v,1,0,1,1,137.48,112.91,6,1
t,0,1,0,1,154.0,115.6,19,5
s,0,1,1,1,148.44,123.99,3,4
t,0,1,0,1,153.45,108.31,2,8
s,0,1,1,1,163.98,116.34,10,10
z,1,1,1,1,161.22,116.4,8,3
p,0,0,0,1,128.63,112.97,14,6
v,1,0,1,1,131.95,110.49,7,8
z,1,1,1,1,148.4,115.2,18,7
p,0,0,0,1,145.92,121.35,10,7
b,1,0,0,1,137.4,115.23,11,7
d,1,1,0,1,143.92,119.1,3,7
t,0,1,0,1,149.34,106.38,7,5
b,1,0,0,1,131.54,115.14,17,7
b,1,0,0,1,128.23,124.4,13,10
d,1,1,0,1,147.06,125.89,10,10
z,1,1,1,1,138.95,106.56,5,8
f,0,0,1,1,145.76,108.66,2,9
d,1,1,0,1,149.21,124.1,8,10
s,0,1,1,1,147.31,116.98,20,10
t,0,1,0,1,153.46,112.98,13,9
p,0,0,0,1,138.59,118.7,11,4
t,0,1,0,1,141.54,116.54,17,9
d,1,1,0,1,136.86,118.28,6,6
v,1,0,1,1,150.03,127.53,8,7
f,0,0,1,1,138.61,99.213,12,9
z,1,1,1,1,152.49,110.53,11,1
p,0,0,0,1,125.42,104.29,7,10
p,0,0,0,1,144.39,118.55,19,7
t,0,1,0,1,161.63,116.37,11,10
s,0,1,1,1,159.49,115.93,8,6
z,1,1,1,1,153.27,122.07,3,3
t,0,1,0,1,155.02,116.2,1,5
s,0,1,1,1,156.15,118.17,4,4
b,1,0,0,1,127.52,109.35,18,10
s,0,1,1,1,156.55,105.4,2,9
v,1,0,1,1,143.17,122.03,9,4
z,1,1,1,1,136.05,109.32,5,2
b,1,0,0,1,134.33,121.88,6,2
t,0,1,0,1,151.71,107.5,2,3
b,1,0,0,1,127.11,117.63,6,1
f,0,0,1,1,128.74,106.34,5,4
t,0,1,0,1,158.52,117.4,13,2
z,1,1,1,1,147.58,121.67,2,6
v,1,0,1,1,128.02,106.05,20,2
s,0,1,1,1,145.57,110.6,17,1
v,1,0,1,1,140.81,116.06,3,4
v,1,0,1,1,149.07,117.31,1,4
d,1,1,0,1,136.04,114.66,11,3
b,1,0,0,1,139.41,114.82,2,10
f,0,0,1,1,128.09,106.89,7,10
z,1,1,1,1,158.43,126.28,1,4
v,1,0,1,1,146.45,113.01,15,5
b,1,0,0,1,134.31,117.37,15,5
z,1,1,1,1,152.52,125.3,3,5
t,0,1,0,1,140.27,109.64,19,6
s,0,1,1,1,155.37,105.77,15,6
b,1,0,0,1,144.42,114.92,11,6
z,1,1,1,1,149.17,121.38,19,6
d,1,1,0,1,140.64,121.37,19,3
t,0,1,0,1,153.88,116.86,14,6
z,1,1,1,1,134.18,112.29,5,7
b,1,0,0,1,134.09,125.47,14,1
s,0,1,1,1,165.16,113.6,16,9
d,1,1,0,1,146.25,126.04,14,1
z,1,1,1,1,159.66,120.91,10,9
s,0,1,1,1,162.9,112.13,6,4
z,1,1,1,1,149.48,116.05,12,8
v,1,0,1,1,153.35,122.77,9,5
b,1,0,0,1,134.86,122.22,15,3
b,1,0,0,1,140.49,131.29,10,5
p,0,0,0,1,148.07,118.8,3,5
b,1,0,0,1,120.18,110.81,18,4
s,0,1,1,1,160.99,119.65,2,7
t,0,1,0,1,158.04,115.88,1,2
b,1,0,0,1,133.14,126.27,3,9
p,0,0,0,1,130.75,113.91,14,4
t,0,1,0,1,147.8,111.49,20,7
p,0,0,0,1,138.77,116.98,13,9
