consonant,voice,place,manner,prosody,condur,vowdur,subject,token
t,0,1,0,0,69,207,15,5
d,1,1,0,0,124,190,20,6
v,1,0,1,0,72,273,5,1
d,1,1,0,0,15,339,5,3
t,0,1,0,0,56,186,19,3
b,1,0,0,0,32,199,17,2
v,1,0,1,0,79,224,19,1
f,0,0,1,0,137,191,14,2
s,0,1,1,0,166,312,7,10
t,0,1,0,0,76,298,7,10
p,0,0,0,0,65,349,15,3
d,1,1,0,0,16,305,15,5
s,0,1,1,0,187,323,12,9
v,1,0,1,0,56,289,7,5
d,1,1,0,0,16,283,3,9
d,1,1,0,0,14,273,9,2
v,1,0,1,0,74,264,15,3
t,0,1,0,0,102,300,11,2
v,1,0,1,0,122,342,10,5
v,1,0,1,0,155,329,3,8
b,1,0,0,0,54,196,19,10
s,0,1,1,0,141,345,12,7
f,0,0,1,0,179,356,9,5
t,0,1,0,0,60,239,13,8
v,1,0,1,0,67,207,19,10
z,1,1,1,0,100,240,19,10
p,0,0,0,0,78,247,4,10
b,1,0,0,0,14,362,3,7
z,1,1,1,0,134,244,8,10
b,1,0,0,0,167,258,20,10
v,1,0,1,0,18,297,7,9
s,0,1,1,0,169,357,12,10
p,0,0,0,0,56,221,16,9
z,1,1,1,0,148,237,20,1
t,0,1,0,0,87,198,14,9
z,1,1,1,0,129,257,15,10
p,0,0,0,0,85,211,14,2
v,1,0,1,0,26,235,16,2
p,0,0,0,0,80,211,17,5
t,0,1,0,0,73,235,15,9
v,1,0,1,0,87,288,18,3
z,1,1,1,0,135,326,10,7
z,1,1,1,0,121,270,18,8
b,1,0,0,0,9,193,8,4
s,0,1,1,0,180,294,5,2
b,1,0,0,0,56,359,3,10
p,0,0,0,0,32,148,1,6
t,0,1,0,0,103,223,10,2
d,1,1,0,0,14,326,2,7
b,1,0,0,0,37,291,5,3
p,0,0,0,0,53,240,2,2
b,1,0,0,0,12,235,13,3
b,1,0,0,0,11,352,15,4
t,0,1,0,0,61,218,20,4
z,1,1,1,0,153,319,9,5
s,0,1,1,0,158,274,18,5
v,1,0,1,0,66,373,3,7
b,1,0,0,0,23,287,18,10
v,1,0,1,0,60,308,3,4
d,1,1,0,0,14,257,8,9
p,0,0,0,0,47,255,15,9
z,1,1,1,0,148,304,3,3
f,0,0,1,0,129,316,12,4
v,1,0,1,0,48,173,17,2
z,1,1,1,0,76,255,4,2
