consonant,voice,place,manner,prosody,noipow,voipow,subject,token
f,0,0,1,0,148.82,109.75,9,7
b,1,0,0,0,132.41,110.67,12,3
v,1,0,1,0,135.85,116.97,20,9
b,1,0,0,0,138.93,129.7,13,3
d,1,1,0,0,145.15,131.58,19,3
d,1,1,0,0,151.05,117.23,16,3
z,1,1,1,0,153.44,110.67,3,4
v,1,0,1,0,141.82,121.53,13,5
d,1,1,0,0,146.34,112.36,3,9
s,0,1,1,0,156.95,112.4,6,2
v,1,0,1,0,149.21,125.85,10,6
b,1,0,0,0,137.3,121.16,7,3
f,0,0,1,0,144.42,110.48,3,4
d,1,1,0,0,142.59,126.22,5,6
f,0,0,1,0,153.72,113.89,14,5
z,1,1,1,0,168.07,119.18,13,7
d,1,1,0,0,160.48,120.29,11,1
f,0,0,1,0,152.16,112.09,10,3
t,0,1,0,0,152.87,113.76,16,7
p,0,0,0,0,143.73,110.58,6,8
v,1,0,1,0,146.84,113.59,11,10
b,1,0,0,0,131.32,118.38,18,1
d,1,1,0,0,136.65,117.19,20,9
b,1,0,0,0,132.69,117.8,17,10
f,0,0,1,0,135.37,104.77,7,8
p,0,0,0,0,141.62,118.4,15,5
t,0,1,0,0,136.92,123.65,17,4
v,1,0,1,0,140.89,121.92,11,3
s,0,1,1,0,163.78,109.31,11,1
s,0,1,1,0,158.65,115.55,14,8
s,0,1,1,0,161.28,111.42,3,8
v,1,0,1,0,137.68,116.68,11,8
v,1,0,1,0,140.98,106.11,12,4
b,1,0,0,0,137.93,121.52,3,8
t,0,1,0,0,144.16,118.61,19,8
v,1,0,1,0,128.1,111.97,5,10
p,0,0,0,0,143.3,113.08,1,5
p,0,0,0,0,147.31,116.01,4,6
t,0,1,0,0,163.97,118.05,16,6
s,0,1,1,0,163.7,111.64,6,4
b,1,0,0,0,135.96,115.45,4,7
b,1,0,0,0,131.33,110.87,2,5
d,1,1,0,0,135.3,105.99,2,3
f,0,0,1,0,146.03,111.03,14,3
p,0,0,0,0,144.78,124.76,1,6
f,0,0,1,0,151.19,109.21,9,2
s,0,1,1,0,167.02,117.41,16,5
d,1,1,0,0,137.83,124.58,17,6
p,0,0,0,0,144.74,111.0,15,3
s,0,1,1,0,160.87,110.79,9,3
z,1,1,1,0,147.6,121.62,19,10
s,0,1,1,0,161.66,113.91,6,3
z,1,1,1,0,155.31,122.36,4,10
v,1,0,1,0,130.41,114.6,17,2
f,0,0,1,0,136.36,107.89,5,7
d,1,1,0,0,147.13,123.17,15,2
v,1,0,1,0,147.0,113.24,15,7
p,0,0,0,0,149.31,120.27,10,1
z,1,1,1,0,148.42,115.65,17,8
z,1,1,1,0,153.76,123.95,13,5
d,1,1,0,0,138.92,120.21,15,10
b,1,0,0,0,138.11,128.41,18,10
b,1,0,0,0,135.09,111.9,13,6
p,0,0,0,0,149.15,119.18,16,9
p,0,0,0,0,140.62,119.38,6,3
v,1,0,1,0,143.6,122.89,4,7
b,1,0,0,0,141.81,128.97,17,9
s,0,1,1,0,158.53,108.65,6,9
b,1,0,0,0,144.09,121.54,1,6
b,1,0,0,0,123.59,108.44,5,2
v,1,0,1,0,139.46,120.41,16,1
b,1,0,0,0,130.82,123.67,12,6
f,0,0,1,0,143.93,120.87,4,2
b,1,0,0,0,126.95,116.52,2,4
p,0,0,0,0,135.78,120.96,20,5
t,0,1,0,0,152.73,113.03,7,8
s,0,1,1,0,163.1,115.15,11,8
d,1,1,0,0,152.84,125.34,13,10
f,0,0,1,0,136.3,107.71,17,6
z,1,1,1,0,151.12,111.18,7,1
f,0,0,1,0,148.59,115.21,11,4
d,1,1,0,0,143.12,116.9,3,2
p,0,0,0,0,150.06,121.36,13,3
b,1,0,0,0,137.83,127.74,14,6
z,1,1,1,0,152.68,123.46,1,8
z,1,1,1,0,149.82,126.87,14,2
b,1,0,0,0,137.24,127.15,19,7
v,1,0,1,0,144.13,115.65,11,9
b,1,0,0,0,123.35,116.12,3,10
b,1,0,0,0,135.23,111.93,3,7
z,1,1,1,0,156.78,122.16,6,8
z,1,1,1,0,168.38,122.81,8,7
d,1,1,0,0,167.39,115.55,11,9
d,1,1,0,0,142.93,127.28,17,7
s,0,1,1,0,165.3,114.06,13,4
v,1,0,1,0,139.7,105.58,9,3
f,0,0,1,0,140.81,106.79,19,10
f,0,0,1,0,142.47,109.56,15,4
z,1,1,1,0,151.47,117.47,18,3
t,0,1,0,0,161.7,114.32,12,8
d,1,1,0,0,138.96,115.24,19,5
d,1,1,0,0,162.31,122.89,10,5
f,0,0,1,0,143.35,105.78,13,8
s,0,1,1,0,164.18,111.9,15,1
z,1,1,1,0,156.29,128.44,1,6
f,0,0,1,0,149.72,113.2,14,2
s,0,1,1,0,148.95,105.35,19,2
p,0,0,0,0,139.82,118.17,13,10
s,0,1,1,0,161.65,121.58,4,4
t,0,1,0,0,156.44,115.39,2,5
f,0,0,1,0,135.92,106.92,6,1
p,0,0,0,0,142.04,112.66,12,4
s,0,1,1,0,164.94,119.45,4,2
p,0,0,0,0,153.82,120.19,10,10
v,1,0,1,0,143.81,126.17,10,5
p,0,0,0,0,134.87,116.17,6,1
f,0,0,1,0,145.06,120.14,11,5
z,1,1,1,0,156.54,121.44,7,5
t,0,1,0,0,148.73,123.54,17,10
z,1,1,1,0,159.07,119.1,1,7
t,0,1,0,0,159.16,119.47,8,5
p,0,0,0,0,135.68,118.9,19,6
t,0,1,0,0,149.65,118.93,8,6
z,1,1,1,0,152.36,123.15,4,8
p,0,0,0,0,129.6,108.57,18,2
s,0,1,1,0,161.39,114.9,6,6
f,0,0,1,0,138.66,101.0,20,3
f,0,0,1,0,132.89,115.46,4,9
t,0,1,0,0,152.31,111.85,12,6
f,0,0,1,0,150.02,112.1,11,10
p,0,0,0,0,137.92,116.92,6,6
z,1,1,1,0,146.89,126.62,14,8
f,0,0,1,0,139.82,101.79,17,5
p,0,0,0,0,138.73,114.23,8,6
s,0,1,1,0,161.27,107.93,6,5
z,1,1,1,0,152.92,112.55,3,7
b,1,0,0,0,133.86,108.24,18,4
p,0,0,0,0,143.04,119.63,14,4
p,0,0,0,0,135.01,118.91,17,5
f,0,0,1,0,144.31,108.69,11,3
p,0,0,0,0,134.55,109.04,20,1
z,1,1,1,0,164.82,127.35,8,2
p,0,0,0,0,135.25,110.79,2,3
p,0,0,0,0,151.06,121.71,11,10
f,0,0,1,0,148.58,118.59,10,5
b,1,0,0,0,140.71,122.0,10,3
s,0,1,1,0,153.15,124.22,17,3
b,1,0,0,0,136.96,125.5,14,5
p,0,0,0,0,144.91,110.42,12,3
p,0,0,0,0,132.39,110.65,19,5
d,1,1,0,0,150.06,112.78,6,7
t,0,1,0,0,154.52,114.94,2,8
z,1,1,1,0,156.74,123.3,6,5
t,0,1,0,0,150.24,117.67,4,8
d,1,1,0,0,157.73,120.33,13,1
p,0,0,0,0,141.06,120.02,13,4
s,0,1,1,0,160.61,109.62,12,6
d,1,1,0,0,148.6,122.13,4,1
v,1,0,1,0,135.12,119.68,16,2
s,0,1,1,0,160.36,106.03,9,2
p,0,0,0,0,146.02,121.96,9,9
t,0,1,0,0,156.79,116.87,9,10
d,1,1,0,0,136.79,115.88,20,10
t,0,1,0,0,143.88,113.58,20,4
f,0,0,1,0,137.28,105.57,18,5
s,0,1,1,0,147.64,105.24,5,8
z,1,1,1,0,158.71,127.42,10,7
d,1,1,0,0,152.17,118.75,9,4
z,1,1,1,0,151.68,127.22,6,1
v,1,0,1,0,126.87,116.42,17,1
f,0,0,1,0,146.92,111.05,14,1
p,0,0,0,0,133.99,110.48,2,1
z,1,1,1,0,152.1,120.3,16,1
z,1,1,1,0,161.27,113.5,9,9
z,1,1,1,0,164.96,126.05,13,6
d,1,1,0,0,148.23,123.11,14,6
t,0,1,0,0,167.21,122.62,11,2
t,0,1,0,0,145.68,112.12,6,9
d,1,1,0,0,153.76,120.05,9,5
f,0,0,1,0,152.66,112.18,16,6
t,0,1,0,0,162.09,120.3,16,8
b,1,0,0,0,135.87,124.46,17,7
