idx,Talker,TalkerID,Vowel,VowelNum,Fricative,FricativeNum,Rep,HasPerceptualData,F0,F1,F2,F3,F4,F5,maxpf,rms_f,rms_v,dur_f,dur_v,lowF,F3ampF,F3ampV,F5ampF,F5ampV,M1,M2,M3,M4,M1trans,M2trans,M3trans,M4trans
1,M6,1,i,1,f,1,1,0,139.1029212,249.279065,2423.091093,3116.72153,3859.478803,4505.660377,8595,55.26,75.71,150,78,33.683,-18.849,-2.983,-25.178,-7.424,6600.555,2018.173357,-0.645,0.55,2992.96,4643970.4,0.89,0.96
2,M6,1,i,1,f,1,2,0,128.094738,254.783863,2420.78316,3087.480489,3796.226415,4460.377358,8254,54.84,75.54,155,76,32.264,-9.194,-0.934,-20.813,-4.279,6041.46,2282.384751,-0.395,-0.095,3361.32,5746800.2,0.82,0.07
3,M6,1,i,1,f,1,3,0,137.8801453,247.334454,2392.39632,3081.29756,3893.205375,5295.981172,8432,54.79,75.29,158,75,33.113,-15.438,-4.122,-23.098,-20.107,6602.445,2237.137043,-0.845,0.885,3440.43,7813659.2,0.51,-0.9
4,M6,1,i,1,v,2,1,0,108.6001834,255.654204,2324.495743,2865.006911,3569.811321,4354.716981,8197,64.49,74.24,70,94,41.973,-22.118,-4.634,-18.721,-7.036,7074.535,2966.282581,-1.51,1.235,5606.2,8303252.8,-0.35,-1.28
5,M6,1,i,1,v,2,2,0,109.1318394,245.071682,2340.471058,2852.945244,3388.679245,4249.056604,8045,66.7,73.1,83,83,44.988,-19.177,1.333,-22.39,-9.927,6429.605,3152.49816,-1.05,-0.32,3244.87,5092904.5,1.12,0.83
6,M6,1,i,1,v,2,3,0,109.6007514,242.106143,2196.226415,2860.377358,3494.339623,4143.396226,8661,65.79,73.58,75,99,43.599,-24.138,-2.121,-26.888,-3.817,6034.58,3265.974342,-0.895,-0.64,3636.02,7004028.3,0.74,-0.43
7,M6,1,i,1,th,3,1,0,189.0858255,258.514394,2391.379295,3069.207017,4007.959712,5475.107894,7738,51.83,77.5,139,91,28.359,-12.407,-1.873,-23.127,-16.943,7019.745,1651.900875,-1.045,1.88,4568.43,8474607.9,-0.2,-1.33
8,M6,1,i,1,th,3,2,0,196.8703861,252.5362,2417.396484,3081.851766,3937.595174,4867.924528,7003,52.37,76.03,146,75,30.308,-24.996,-4.732,-36.729,-27.013,6987.265,1597.424161,-0.87,1.48,3288.14,8973009.2,0.47,-1.16
9,M6,1,i,1,th,3,3,0,122.8953,249.37046,2351.91376,2935.4568,4080.101432,5520.132763,7888,53.07,76.22,132,95,31.235,-12.733,-4.197,-29.388,-18.936,7015.64,1415.189881,-1.055,2.975,4296.39,10953596,-0.01,-1.58
10,M6,1,i,1,dh,4,1,0,144.0332726,261.428645,2173.599274,2699.881332,4012.981079,5079.245283,7881,66.8,76.56,61,108,43.781,-19.57,-1.812,-24.081,-21.997,7165.06,2413.252411,-2.21,4.395,6153.9,7638147.2,-1.13,0.04
11,M6,1,i,1,dh,4,2,0,130.5971822,250.379601,2190.82067,2619.259508,3893.707736,5694.888582,6070,67.57,73.89,70,93,45.164,-11.463,-2.43,-22.198,-20.479,4880.395,3557.588158,-0.34,-1.51,4073.57,10696716,0.11,-1.59
12,M6,1,i,1,dh,4,3,0,177.2115355,259.00719,2114.52727,2561.976103,3948.332898,5079.245283,8350,68.39,74.53,68,110,45.813,-13.488,-0.076,-27.542,-27.073,4459.595,3770.156296,-0.115,-1.775,3175.2,9321704.8,0.71,-0.95
13,M6,1,i,1,s,5,1,0,161.8933337,252.209435,2459.033932,3114.525418,3886.792453,4475.471698,7385,63.35,73.09,177,84,36.083,-20.918,2.928,-29.571,-5.357,7537.09,1112.905133,-0.865,3.07,3175.13,3339849.6,0.6,1.19
14,M6,1,i,1,s,5,2,0,135.7160594,251.590283,2377.532513,2947.45699,4082.288232,5667.556809,8481,66.09,72.47,165,91,33.112,-12.658,-9.289,-8.721,-27.342,7439.33,1227.41538,-0.7,1.08,5696.87,5169113.5,-1.27,0.87
15,M6,1,i,1,s,5,3,0,125.3960583,241.038195,2348.234755,3035.767538,3913.762968,5010.452962,7922,64.82,71.93,174,81,30.829,-21.411,-2.553,-15.907,-24.44,7643.73,938.2296787,-0.025,1.255,3714.8,8394339.5,0.2,-1.3
16,M6,1,i,1,z,6,1,0,137.9158167,263.281767,2000,2739.622642,3886.792453,4822.641509,8031,68.75,74.22,98,86,46.862,-9.158,-7.459,-10.552,-19.504,7711.6,1104.042843,-1.64,9.42,7338.29,2101802.4,-1.82,6.93
17,M6,1,i,1,z,6,2,0,174.3072678,258.785755,2351.314267,2694.339623,3388.679245,4188.679245,8727,67.68,73.17,126,88,46.352,-10.253,-5.374,-21.054,-9.101,7535.135,1411.619602,-1.63,5.305,6565.89,1165581.5,-1.17,7.18
18,M6,1,i,1,z,6,3,0,132.8807215,261.562109,1879.245283,2724.528302,3449.056604,4445.283019,8001,69.24,73.36,124,93,48.631,-19.136,-8.974,-23.036,-16.127,7548.94,1206.713926,-1.885,8.41,6137.21,4283455.4,-1.45,1.88
19,M6,1,i,1,sh,7,1,0,124.319916,269.571633,2344.369262,2895.053592,3524.528302,4173.584906,6394,67.64,77.4,151,70,34.668,-2.041,3.417,-16.303,-9.343,5218.55,1554.892665,0.095,-0.5,4253.87,8114398.5,0.19,-1.42
20,M6,1,i,1,sh,7,2,0,122.8444588,265.749547,2402.117256,2911.623212,3433.962264,4279.245283,6093,67.58,76.4,159,90,36.658,-4.491,2.136,-18.001,-6.786,5031.16,1511.506715,0.275,-0.02,3852.68,6366505.9,0.53,-0.75
21,M6,1,i,1,sh,7,3,0,210.6634315,257.136614,2341.51579,2911.12093,3388.679245,4203.773585,3321,66.68,76.24,153,71,33.156,-3.651,2.442,-12.992,-12.455,5102.915,1645.446231,0.365,-0.475,3720.81,6021738.9,0.57,-0.58
